ID,Gene,In_Degree,Out_Degree,Betweenness,Closeness_Out,Closeness_In,PageRank
0,Q0050,1,0,0.0,0.0003971405877680699,0.0,0.00039642926871532463
1,YAL003W,10,0,0.0,0.0062838700596213595,0.0,0.0003910001676933849
2,YAL005C,10,0,0.0,0.006489446200125057,0.0,0.00039099684042150556
3,YAL007C,5,0,0.0,0.0020424373085215024,0.0,0.0003928096648001537
4,YAL008W,4,0,0.0,0.006414881555093403,0.0,0.00038273477858777354
5,YAL012W,9,0,0.0,0.009654518474733854,0.0,0.0004623100263118841
6,YAL013W,2,0,0.0,0.00604567973897292,0.0,0.00039196698103193597
7,YAL014C,2,0,0.0,0.005155518305013717,0.0,0.00038120624142045316
8,YAL016W,7,0,0.0,0.006800647739377259,0.0,0.0003923052216819797
9,YAL022C,5,0,0.0,0.004575059571088166,0.0,0.00039271331543720754
10,YAL023C,7,0,0.0,0.004562366273833185,0.0,0.00038866059949504435
11,YAL025C,4,0,0.0,0.004275756608493613,0.0,0.0003850526926841728
12,YAL030W,2,0,0.0,0.0048575114665736175,0.0,0.00038100620307678404
13,YAL033W,2,0,0.0,0.0048575114665736175,0.0,0.00038102822722401776
14,YAL034C,4,0,0.0,0.0059179541106847595,0.0,0.00038449716669895523
15,YAL035W,4,0,0.0,0.0016547524490336245,0.0,0.00038218689289720785
16,YAL036C,7,0,0.0,0.007300378451618933,0.0,0.00041178049016912533
17,YAL038W,10,0,0.0,0.009339209305900742,0.0,0.0004253689747810222
18,YAL039C,8,0,0.0,0.006931908441042675,0.0,0.0003941152123547623
19,YAL040C,5,0,0.0,0.005130313206898634,0.0,0.0003880710037950142
20,YAL041W,2,0,0.0,0.005609026771947857,0.0,0.0004063747998760159
21,YAL042W,2,0,0.0,0.003982698974963203,0.0,0.0003831162101615576
22,YAL044C,10,0,0.0,0.008438358860452529,0.0,0.0003930889017598721
23,YAL049C,5,0,0.0,0.0068321096237173645,0.0,0.0003857419947056422
24,YAL051W,0,56,0.0,0.0,0.18406840653631282,0.0003802805224107413
25,YAL053W,6,0,0.0,0.005576225445796115,0.0,0.00040339165974831036
26,YAL054C,5,0,0.0,0.004399095741430928,0.0,0.00040501952026636423
27,YAL059W,2,0,0.0,0.0007942811755361397,0.0,0.0003839192748888766
28,YAL060W,11,0,0.0,0.008273762245168124,0.0,0.00040084532435458165
29,YAL061W,7,0,0.0,0.005512119965166464,0.0,0.0003984318522375298
30,YAL062W,3,0,0.0,0.004216644765979876,0.0,0.0005127634744242392
31,YAR002W,6,0,0.0,0.006962567923648146,0.0,0.0003878117087979795
32,YAR003W,2,0,0.0,0.0008935663224781574,0.0,0.0004164994470939008
33,YAR007C,3,0,0.0,0.0051695588373877575,0.0,0.00038330017068166736
34,YAR008W,2,0,0.0,0.005808598260590972,0.0,0.00038893667915541544
35,YAR015W,9,0,0.0,0.008080801281619795,0.0,0.0004094351664908656
36,YAR018C,5,0,0.0,0.007470383852376632,0.0,0.00042203234765409055
37,YAR027W,7,0,0.0,0.005927591610673421,0.0,0.0003871392135131898
38,YAR031W,1,0,0.0,0.004721064515265371,0.0,0.0003819884549921765
39,YBL001C,6,0,0.0,0.005221925942736109,0.0,0.00038686366524423056
40,YBL002W,7,0,0.0,0.002680698967434472,0.0,0.0004124414485726022
41,YBL003C,8,0,0.0,0.005551303343201675,0.0,0.0004244536033924443
42,YBL005W,0,13,0.0,0.0,0.005162827640984908,0.0003802805224107413
43,YBL007C,2,0,0.0,0.003963912659043565,0.0,0.0003815509134897375
44,YBL011W,2,0,0.0,0.0009077499148984454,0.0,0.0003815082735477137
45,YBL015W,8,0,0.0,0.007038553186289486,0.0,0.00040360216325102986
46,YBL017C,1,0,0.0,0.0005957108816521049,0.0,0.0003806353683420605
47,YBL018C,2,0,0.0,0.004201747418586179,0.0,0.00038424499418676596
48,YBL021C,0,28,0.0,0.0,0.011119936457505957,0.0003802805224107413
49,YBL022C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
50,YBL024W,3,0,0.0,0.0012708498808578236,0.0,0.0003820270710876477
51,YBL026W,3,0,0.0,0.004914324466182666,0.0,0.00038232531528061074
52,YBL027W,5,0,0.0,0.005480083627765148,0.0,0.00041713990390184705
53,YBL028C,6,0,0.0,0.004295830583181376,0.0,0.0004186542432940808
54,YBL030C,6,0,0.0,0.007278889704054472,0.0,0.0004321745465373098
55,YBL032W,3,0,0.0,0.0015885623510722797,0.0,0.0004254116835278277
56,YBL033C,4,0,0.0,0.005795513680808524,0.0,0.0003837870792075416
57,YBL036C,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
58,YBL038W,3,0,0.0,0.005959925416434297,0.0,0.00038393604671992397
59,YBL039C,4,0,0.0,0.00617805322802582,0.0,0.0003852257326622578
60,YBL040C,2,0,0.0,0.004829594734007103,0.0,0.00038101917885810716
61,YBL041W,3,0,0.0,0.004914324466182666,0.0,0.0003813610490081033
62,YBL042C,21,0,0.0,0.011018754142151036,0.0,0.0005278100575661878
63,YBL045C,5,0,0.0,0.006748335064458972,0.0,0.00039818848957836
64,YBL051C,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
65,YBL056W,3,0,0.0,0.006271264803859969,0.0,0.00038187193992379715
66,YBL057C,1,0,0.0,0.004801997049812776,0.0,0.0003806733812926985
67,YBL064C,13,0,0.0,0.008364338168694174,0.0,0.0004195212048309722
68,YBL068W,2,0,0.0,0.0008935663224781574,0.0,0.0003812890239565249
69,YBL072C,6,0,0.0,0.0023106361470142246,0.0,0.00039196374043141036
70,YBL076C,8,0,0.0,0.007038553186289486,0.0,0.00038746860955869787
71,YBL078C,4,0,0.0,0.005002080260221643,0.0,0.00038942637379448436
72,YBL087C,6,0,0.0,0.005448768864177919,0.0,0.000389553351064991
73,YBL091C,1,0,0.0,0.0005295207836907598,0.0,0.00038061334419482685
74,YBL092W,5,0,0.0,0.0019459888800635423,0.0,0.00038484505228332023
75,YBL093C,6,0,0.0,0.006962567923648146,0.0,0.00038700971665193084
76,YBL099W,3,0,0.0,0.006224810990498044,0.0,0.0003907570162028669
77,YBL102W,3,0,0.0,0.005219562010666061,0.0,0.00038153906320453874
78,YBL103C,0,19,0.0,0.0,0.007545671167593328,0.0003802805224107413
79,YBR001C,2,0,0.0,0.0047747129756661125,0.0,0.0003823212767762621
80,YBR005W,5,0,0.0,0.008202705228239031,0.0,0.0003922868250912595
81,YBR006W,10,0,0.0,0.007449488681493248,0.0,0.0004531869227523285
82,YBR009C,9,0,0.0,0.005609434138261457,0.0,0.00041842402738723975
83,YBR010W,8,0,0.0,0.007036834789515489,0.0,0.00041890420883170264
84,YBR011C,5,0,0.0,0.0043365493564816735,0.0,0.00039162485252558136
85,YBR014C,1,0,0.0,0.004829594734007103,0.0,0.0003808133825384959
86,YBR015C,3,0,0.0,0.0012708498808578236,0.0,0.00038284788401808146
87,YBR016W,5,0,0.0,0.005967915363126983,0.0,0.00038945321635632885
