ID,Gene
1,YAL003W
826,YGL073W
1131,YHR206W
2,YAL005C
1403,YKL062W
1787,YMR037C
3,YAL007C
1383,YKL020C
15,YAL035W
17,YAL038W
2470,YPR065W
19,YAL040C
1923,YNL027W
1838,YMR172W
26,YAL054C
474,YDR216W
1889,YMR280C
27,YAL059W
44,YBL011W
45,YBL015W
1390,YKL032C
47,YBL018C
58,YBL038W
60,YBL040C
62,YBL042C
2137,YOL116W
63,YBL045C
1148,YIL036W
67,YBL064C
1380,YKL015W
87,YBR016W
89,YBR021W
91,YBR025C
106,YBR050C
1636,YLR256W
24,YAL051W
119,YBR082C
130,YBR109C
137,YBR126C
143,YBR139W
148,YBR149W
1801,YMR070W
153,YBR159W
166,YBR183W
171,YBR199W
175,YBR212W
180,YBR230C
188,YBR247C
191,YBR251W
199,YBR269C
203,YBR286W
204,YBR287W
210,YBR298C
1996,YNL167C
228,YCL047C
229,YCL050C
237,YCR005C
472,YDR213W
2121,YOL067C
239,YCR010C
242,YCR017C
269,YDL014W
270,YDL015C
275,YDL022W
276,YDL025C
278,YDL040C
296,YDL074C
316,YDL113C
317,YDL115C
323,YDL124W
325,YDL126C
330,YDL133W
332,YDL135C
340,YDL148C
345,YDL168W
349,YDL174C
352,YDL180W
358,YDL190C
361,YDL193W
362,YDL195W
365,YDL204W
366,YDL207W
378,YDL237W
391,YDR033W
397,YDR044W
404,YDR060W
411,YDR070C
412,YDR071C
415,YDR074W
421,YDR086C
431,YDR111C
435,YDR122W
437,YDR127W
442,YDR143C
446,YDR150W
449,YDR155C
451,YDR158W
456,YDR170C
462,YDR178W
468,YDR208W
473,YDR214W
484,YDR238C
498,YDR275W
499,YDR276C
854,YGL166W
525,YDR342C
529,YDR353W
535,YDR368W
541,YDR381W
542,YDR382W
543,YDR384C
546,YDR391C
552,YDR404C
553,YDR405W
563,YDR435C
565,YDR447C
570,YDR453C
573,YDR457W
580,YDR476C
582,YDR479C
598,YDR517W
602,YDR527W
620,YEL024W
625,YEL033W
626,YEL034W
630,YEL039C
631,YEL040W
637,YEL052W
644,YEL071W
656,YER021W
658,YER024W
674,YER053C
680,YER065C
691,YER081W
703,YER102W
731,YER150W
732,YER152C
744,YER178W
749,YFL014W
750,YFL016C
759,YFL039C
768,YFR014C
771,YFR017C
772,YFR025C
785,YFR053C
788,YGL002W
801,YGL022W
809,YGL037C
822,YGL062W
855,YGL167C
874,YGL219C
875,YGL221C
893,YGR007W
898,YGR020C
908,YGR043C
912,YGR049W
918,YGR067C
927,YGR086C
928,YGR088W
930,YGR102C
941,YGR123C
942,YGR124W
945,YGR130C
948,YGR141W
950,YGR147C
964,YGR181W
981,YGR210C
982,YGR211W
986,YGR220C
998,YGR245C
999,YGR246C
1006,YGR256W
1014,YGR284C
1019,YHL002W
1039,YHR008C
1040,YHR009C
1045,YHR019C
1046,YHR020W
1056,YHR037W
1062,YHR049W
1066,YHR057C
1071,YHR068W
1081,YHR090C
1084,YHR096C
1085,YHR097C
1109,YHR150W
1111,YHR162W
1118,YHR181W
1120,YHR190W
1121,YHR193C
1123,YHR195W
1126,YHR199C
1127,YHR200W
1151,YIL041W
1173,YIL083C
1184,YIL111W
1188,YIL119C
1189,YIL121W
1211,YIR016W
1225,YIR036C
1241,YJL044C
1323,YJR045C
1325,YJR048W
1327,YJR056C
1329,YJR059W
1334,YJR070C
1338,YJR076C
1345,YJR096W
1348,YJR103W
1349,YJR104C
1352,YJR113C
1353,YJR117W
1358,YJR125C
1359,YJR126C
1367,YJR145C
1377,YKL010C
1381,YKL016C
1391,YKL035W
1398,YKL054C
1400,YKL057C
1405,YKL065C
1412,YKL085W
1414,YKL087C
1415,YKL091C
1416,YKL093W
1435,YKL142W
1437,YKL145W
1439,YKL150W
1464,YKL201C
1470,YKL217W
1472,YKR001C
1473,YKR003W
1485,YKR043C
1486,YKR046C
1487,YKR048C
1496,YKR066C
1497,YKR067W
1502,YKR076W
1506,YKR087C
1532,YLR003C
1553,YLR051C
1559,YLR064W
1570,YLR093C
1576,YLR107W
1577,YLR108C
1578,YLR109W
1582,YLR117C
1584,YLR120C
1589,YLR142W
1596,YLR164W
1612,YLR193C
1614,YLR196W
1617,YLR201C
1622,YLR216C
1634,YLR253W
1638,YLR258W
1642,YLR270W
1643,YLR283W
1650,YLR293C
1661,YLR327C
1662,YLR328W
1663,YLR330W
1683,YLR387C
1685,YLR389C
1690,YLR406C
1693,YLR412W
1710,YML004C
1712,YML008C
1721,YML028W
1724,YML035C
1731,YML054C
1734,YML057W
1736,YML063W
1739,YML070W
1742,YML074C
1743,YML075C
1753,YML101C
1764,YML128C
1769,YMR002W
1771,YMR006C
1773,YMR009W
1775,YMR012W
1789,YMR039C
1805,YMR083W
1809,YMR092C
1812,YMR105C
1813,YMR107W
1815,YMR110C
1818,YMR121C
1820,YMR125W
1823,YMR134W
1824,YMR135C
1826,YMR139W
1835,YMR169C
1839,YMR174C
1847,YMR188C
1857,YMR202W
1865,YMR220W
1874,YMR241W
1887,YMR272C
1899,YMR298W
1908,YMR313C
1911,YMR316W
1916,YNL005C
1917,YNL006W
1918,YNL007C
1927,YNL036W
1928,YNL037C
1932,YNL045W
1942,YNL063W
1943,YNL064C
1951,YNL077W
1963,YNL098C
1971,YNL112W
1972,YNL115C
1984,YNL138W
1987,YNL147W
1992,YNL156C
1993,YNL157W
2002,YNL177C
2003,YNL178W
2010,YNL190W
2011,YNL191W
2013,YNL193W
2014,YNL195C
2027,YNL232W
2036,YNL259C
2040,YNL268W
2049,YNL289W
2054,YNL305C
2056,YNL307C
2061,YNL322C
2062,YNL323W
2063,YNL327W
2068,YNR009W
2071,YNR017W
2072,YNR018W
2077,YNR034W
2084,YNR047W
2090,YNR061C
2098,YOL016C
2110,YOL048C
2116,YOL059W
2117,YOL060C
2125,YOL081W
2126,YOL082W
2136,YOL111C
2143,YOL124C
2144,YOL126C
2148,YOL136C
2158,YOR007C
2159,YOR008C
2161,YOR019W
2164,YOR023C
2167,YOR027W
2180,YOR062C
2197,YOR099W
2216,YOR145C
2217,YOR147W
2224,YOR158W
2233,YOR175C
2248,YOR220W
2253,YOR227W
2261,YOR244W
2262,YOR246C
2263,YOR247W
2265,YOR253W
2292,YOR315W
2293,YOR316C
2294,YOR317W
2302,YOR342C
2305,YOR348C
2308,YOR356W
2310,YOR361C
2315,YOR374W
2318,YOR383C
2327,YPL023C
2337,YPL047W
2344,YPL061W
2354,YPL087W
2357,YPL091W
2365,YPL106C
2367,YPL112C
2371,YPL127C
2372,YPL128C
2376,YPL134C
2382,YPL151C
2385,YPL156C
2393,YPL179W
2399,YPL196W
2403,YPL203W
2405,YPL206C
2411,YPL215W
2416,YPL223C
2429,YPL239W
2438,YPL252C
2447,YPR006C
2459,YPR035W
2469,YPR063C
2473,YPR072W
2478,YPR086W
2488,YPR108W
2489,YPR109W
2494,YPR127W
2505,YPR148C
2507,YPR154W
2519,YPR184W
