ID,Gene
273,YDL020C
1177,YIL101C
1077,YHR084W
12,YAL030W
49,YBL022C
51,YBL026W
61,YBL041W
66,YBL057C
80,YBR005W
88,YBR017C
90,YBR024W
92,YBR026C
102,YBR043C
115,YBR072W
1029,YHL027W
131,YBR110W
132,YBR111C
140,YBR130C
150,YBR153W
162,YBR173C
198,YBR268W
200,YBR272C
216,YCL012C
219,YCL028W
221,YCL034W
231,YCL056C
235,YCR002C
238,YCR009C
243,YCR021C
245,YCR028C
246,YCR030C
260,YCR093W
277,YDL029W
279,YDL045C
281,YDL048C
740,YER169W
1603,YLR176C
285,YDL053C
305,YDL088C
310,YDL097C
311,YDL099W
315,YDL110C
346,YDL169C
350,YDL178W
363,YDL198C
388,YDR028C
389,YDR031W
422,YDR088C
432,YDR116C
438,YDR129C
461,YDR177W
475,YDR222W
504,YDR284C
519,YDR328C
521,YDR333C
536,YDR372C
548,YDR394W
555,YDR410C
604,YDR530C
610,YEL005C
611,YEL006W
628,YEL037C
642,YEL060C
652,YER010C
653,YER012W
670,YER046W
671,YER048C
692,YER083C
712,YER119C
713,YER120W
719,YER130C
723,YER136W
737,YER161C
738,YER163C
764,YFR006W
765,YFR009W
766,YFR010W
770,YFR016C
776,YFR037C
784,YFR052W
787,YGL001C
794,YGL010W
795,YGL011C
803,YGL027C
814,YGL047W
815,YGL048C
816,YGL050W
821,YGL059W
830,YGL084C
842,YGL122C
857,YGL173C
858,YGL181W
864,YGL195W
872,YGL213C
905,YGR037C
906,YGR038W
910,YGR046W
937,YGR116W
963,YGR180C
970,YGR191W
974,YGR198W
987,YGR223C
990,YGR231C
1002,YGR252W
1022,YHL008C
1036,YHR001W
1042,YHR012W
1051,YHR027C
1052,YHR028C
1060,YHR043C
1078,YHR087W
1079,YHR088W
1089,YHR107C
1125,YHR198C
1138,YIL010W
1139,YIL016W
1143,YIL022W
1153,YIL044C
1157,YIL051C
1162,YIL062C
1168,YIL075C
1182,YIL108W
1197,YIL138C
1198,YIL142W
1209,YIR004W
1232,YJL008C
1235,YJL026W
1238,YJL036W
1249,YJL068C
1253,YJL080C
1254,YJL081C
1257,YJL094C
1262,YJL104W
1265,YJL111W
1269,YJL123C
1272,YJL134W
1277,YJL144W
1287,YJL163C
1291,YJL168C
1310,YJR006W
1326,YJR051W
1342,YJR085C
1370,YKL003C
1378,YKL012W
1379,YKL013C
1385,YKL023W
1387,YKL025C
1393,YKL039W
1428,YKL120W
1457,YKL189W
1458,YKL190W
1461,YKL195W
1468,YKL212W
1480,YKR018C
1495,YKR065C
1507,YKR089C
1515,YLL011W
1517,YLL018C
1518,YLL022C
1546,YLR034C
1554,YLR052W
1568,YLR090W
1572,YLR102C
1592,YLR150W
1632,YLR249W
1639,YLR259C
1670,YLR345W
1692,YLR410W
1694,YLR413W
1697,YLR421C
1698,YLR429W
1725,YML038C
1727,YML048W
1745,YML079W
1786,YMR033W
1790,YMR040W
1808,YMR091C
1810,YMR093W
1811,YMR099C
1825,YMR136W
1837,YMR171C
1844,YMR183C
1854,YMR197C
1861,YMR209C
1866,YMR222C
1872,YMR237W
1886,YMR271C
1909,YMR314W
1922,YNL025C
1953,YNL079C
1955,YNL081C
1957,YNL085W
1958,YNL087W
1961,YNL094W
1975,YNL121C
1991,YNL155W
1997,YNL168C
2015,YNL197C
2024,YNL222W
2074,YNR027W
2078,YNR035C
2079,YNR036C
2081,YNR041C
2082,YNR043W
2088,YNR053C
2119,YOL062C
2146,YOL129W
2172,YOR042W
2193,YOR092W
2204,YOR117W
2208,YOR125C
2214,YOR140W
2223,YOR157C
2231,YOR168W
2235,YOR179C
2267,YOR259C
2268,YOR260W
2269,YOR261C
2272,YOR267C
2279,YOR280C
2287,YOR297C
2295,YOR319W
2320,YPL003W
2347,YPL071C
2369,YPL118W
2373,YPL129W
2391,YPL173W
2406,YPL208W
2407,YPL210C
2415,YPL222W
2418,YPL225W
2446,YPR002W
2448,YPR008W
2449,YPR010C
2454,YPR023C
2455,YPR024W
2461,YPR037C
2471,YPR067W
2480,YPR091C
2481,YPR100W
2496,YPR129W
2498,YPR133C
2504,YPR147C
2517,YPR180W
2518,YPR182W
