ID,Gene
1711,YML007W
32,YAR003W
2437,YPL248C
38,YAR031W
56,YBL033C
79,YBR001C
1116,YHR178W
1246,YJL056C
252,YCR057C
253,YCR059C
292,YDL066W
336,YDL142C
383,YDR011W
559,YDR423C
439,YDR135C
479,YDR231C
487,YDR248C
587,YDR493W
606,YDR533C
618,YEL017W
633,YEL044W
639,YEL055C
678,YER062C
743,YER177W
817,YGL054C
838,YGL115W
865,YGL196W
958,YGR172C
976,YGR201C
992,YGR233C
1017,YGR295C
1027,YHL021C
1061,YHR047C
1110,YHR161C
1112,YHR163W
1114,YHR174W
1160,YIL056W
1174,YIL087C
1187,YIL118W
1258,YJL096W
1263,YJL109C
1343,YJR088C
1357,YJR123W
1413,YKL086W
1436,YKL143W
1450,YKL175W
1500,YKR071C
1586,YLR130C
1593,YLR152C
1604,YLR177W
1616,YLR199C
1633,YLR250W
1673,YLR354C
1678,YLR367W
1728,YML051W
1729,YML052W
1757,YML115C
1760,YML121W
1766,YML130C
1781,YMR024W
1788,YMR038C
1840,YMR175W
1852,YMR195W
1885,YMR266W
1912,YMR318C
1937,YNL055C
1950,YNL074C
1969,YNL110C
2004,YNL180C
2041,YNL274C
2045,YNL283C
2064,YNL336W
2138,YOL119C
2151,YOL143C
2192,YOR091W
2205,YOR120W
2225,YOR161C
2229,YOR165W
2236,YOR182C
2281,YOR285W
2306,YOR354C
2314,YOR369C
2323,YPL010W
2363,YPL100W
2396,YPL186C
2475,YPR074C
2508,YPR156C
