ID,Gene
14,YAL034C
1777,YMR016C
23,YAL049C
120,YBR083W
37,YAR027W
2168,YOR028C
109,YBR056W
1392,YKL038W
110,YBR057C
78,YBL103C
127,YBR104W
152,YBR158W
184,YBR241C
190,YBR249C
396,YDR043C
264,YDL004W
274,YDL021W
367,YDL208W
379,YDR001C
395,YDR041W
417,YDR077W
455,YDR169C
457,YDR171W
470,YDR211W
488,YDR251W
493,YDR261C
500,YDR279W
509,YDR297W
526,YDR343C
527,YDR345C
808,YGL035C
532,YDR365C
564,YDR441C
594,YDR510W
612,YEL007W
619,YEL021W
1537,YLR014C
641,YEL058W
654,YER017C
655,YER020W
664,YER035W
699,YER094C
711,YER118C
762,YFL048C
769,YFR015C
786,YFR055W
871,YGL209W
890,YGL253W
894,YGR008C
899,YGR027C
900,YGR028W
901,YGR031W
902,YGR032W
938,YGR118W
939,YGR121C
940,YGR122W
946,YGR132C
947,YGR135W
949,YGR142W
951,YGR148C
985,YGR218W
989,YGR230W
1043,YHR013C
1044,YHR018C
1055,YHR033W
1082,YHR092C
1083,YHR094C
1130,YHR205W
1141,YIL020C
1154,YIL045W
1185,YIL114C
1207,YIL162W
1242,YJL048C
1251,YJL078C
1273,YJL136C
1288,YJL164C
1299,YJL186W
1308,YJR001W
1388,YKL026C
1421,YKL104C
1442,YKL156W
1469,YKL216W
1477,YKR011C
1501,YKR074W
1505,YKR085C
1519,YLL023C
1547,YLR038C
1551,YLR049C
1580,YLR113W
1635,YLR254C
1657,YLR304C
1665,YLR333C
1667,YLR340W
1696,YLR420W
1706,YLR449W
1774,YMR011W
1806,YMR088C
1829,YMR145C
1841,YMR178W
1853,YMR196W
1869,YMR230W
1870,YMR235C
1891,YMR286W
1897,YMR296C
1919,YNL008C
1965,YNL100W
1981,YNL132W
1994,YNL160W
2017,YNL208W
2023,YNL220W
2028,YNL239W
2047,YNL287W
2048,YNL288W
2085,YNR050C
2162,YOR020C
2182,YOR064C
2189,YOR086C
2190,YOR087W
2213,YOR136W
2278,YOR278W
2289,YOR310C
2298,YOR327C
2351,YPL081W
2378,YPL143W
2390,YPL170W
2410,YPL214C
2422,YPL230W
2509,YPR160W
2514,YPR169W
2522,YPR198W
