ID,Gene
288,YDL056W
707,YER111C
1212,YIR017C
8,YAL016W
2312,YOR363C
444,YDR146C
1587,YLR131C
1793,YMR043W
10,YAL023C
20,YAL041W
2392,YPL177C
25,YAL053W
2355,YPL089C
33,YAR007C
34,YAR008W
1455,YKL185W
36,YAR018C
568,YDR451C
1720,YML027W
40,YBL002W
1001,YGR249W
41,YBL003C
54,YBL030C
2375,YPL133C
255,YCR065W
55,YBL032W
75,YBL093C
82,YBR009C
83,YBR010W
84,YBR011C
86,YBR015C
95,YBR034C
97,YBR036C
99,YBR038W
101,YBR041W
104,YBR048W
108,YBR053C
111,YBR067C
1396,YKL043W
113,YBR070C
114,YBR071W
116,YBR078W
123,YBR088C
1627,YLR228C
183,YBR239C
128,YBR105C
138,YBR127C
139,YBR129C
832,YGL096W
154,YBR160W
172,YBR202W
186,YBR243C
192,YBR252W
197,YBR265W
207,YBR294W
208,YBR296C
1779,YMR021C
211,YCL001W
214,YCL009C
215,YCL011C
234,YCL063W
248,YCR034W
267,YDL010W
271,YDL018C
282,YDL049C
287,YDL055C
289,YDL061C
299,YDL078C
306,YDL090C
308,YDL092W
309,YDL095W
313,YDL103C
318,YDL117W
326,YDL127W
333,YDL136W
343,YDL165W
351,YDL179W
394,YDR037W
402,YDR055W
407,YDR063W
440,YDR139C
443,YDR144C
460,YDR175C
464,YDR190C
476,YDR224C
477,YDR225W
482,YDR234W
486,YDR245W
501,YDR280W
505,YDR286C
507,YDR294C
512,YDR302W
514,YDR309C
528,YDR349C
537,YDR373W
550,YDR397C
551,YDR399W
585,YDR487C
591,YDR500C
614,YEL011W
623,YEL031W
624,YEL032W
629,YEL038W
648,YER003C
662,YER029C
669,YER044C
681,YER067W
684,YER070W
688,YER078C
698,YER092W
700,YER095W
702,YER100W
704,YER103W
706,YER110C
716,YER124C
717,YER125W
720,YER131W
721,YER133W
733,YER154W
736,YER159C
755,YFL028C
757,YFL037W
761,YFL045C
774,YFR033C
792,YGL008C
796,YGL012W
800,YGL021W
804,YGL028C
807,YGL031C
828,YGL077C
850,YGL154C
851,YGL157W
867,YGL200C
891,YGL256W
892,YGR002C
907,YGR041W
911,YGR048W
915,YGR060W
922,YGR079W
935,YGR110W
969,YGR189C
1000,YGR248W
1011,YGR279C
1013,YGR282C
1028,YHL025W
1038,YHR007C
1054,YHR030C
1057,YHR039C
1075,YHR081W
1086,YHR098C
1090,YHR110W
1103,YHR140W
909,YGR044C
1105,YHR142W
1106,YHR143W
1115,YHR175W
1136,YIL004C
1161,YIL057C
1165,YIL069C
1166,YIL070C
1180,YIL106W
1181,YIL107C
1190,YIL123W
1196,YIL136W
1205,YIL158W
1206,YIL160C
1219,YIR030C
1227,YIR038C
1229,YJL002C
1247,YJL060W
1252,YJL079C
165,YBR182C
1259,YJL097W
1260,YJL100W
1266,YJL115W
1279,YJL148W
1284,YJL158C
1285,YJL159W
1293,YJL173C
1297,YJL183W
1307,YJL217W
1317,YJR015W
1324,YJR046W
1347,YJR101W
1354,YJR118C
1356,YJR121W
1365,YJR143C
1369,YKL001C
1376,YKL009W
1397,YKL045W
1407,YKL069W
1418,YKL096W
1419,YKL098W
1430,YKL127W
1431,YKL128C
1446,YKL164C
1456,YKL186C
1460,YKL192C
1462,YKL196C
1484,YKR042W
1491,YKR056W
1508,YKR091W
1552,YLR050C
1555,YLR056W
1564,YLR078C
1565,YLR079W
1567,YLR089C
1573,YLR104W
1583,YLR118C
1594,YLR153C
1595,YLR163C
1606,YLR179C
1610,YLR190W
1621,YLR209C
1641,YLR268W
1644,YLR284C
1646,YLR286C
1654,YLR300W
1664,YLR332W
1668,YLR342W
1682,YLR380W
1695,YLR414C
1726,YML041C
1730,YML053C
1735,YML058W
1738,YML069W
1746,YML085C
1752,YML100W
1758,YML119W
1762,YML125C
1767,YML131W
1768,YMR001C
1785,YMR031C
1802,YMR072W
1807,YMR090W
1819,YMR123W
1830,YMR146C
1842,YMR181C
1845,YMR184W
1850,YMR193W
1855,YMR199W
1856,YMR200W
1862,YMR215W
1873,YMR238W
1878,YMR250W
1895,YMR292W
1896,YMR295C
1902,YMR305C
1903,YMR307W
1904,YMR308C
1910,YMR315W
1913,YNL001W
1920,YNL010W
1921,YNL016W
1924,YNL030W
1925,YNL031C
1933,YNL046W
1934,YNL048W
1935,YNL051W
1938,YNL056W
1939,YNL058C
1944,YNL066W
1945,YNL067W
1952,YNL078W
1959,YNL088W
1999,YNL173C
2012,YNL192W
2021,YNL217W
2026,YNL231C
2037,YNL263C
2038,YNL264C
2050,YNL290W
2051,YNL300W
2066,YNR002C
2075,YNR028W
2091,YNR067C
2092,YOL002C
2094,YOL007C
2095,YOL010W
2097,YOL012C
2099,YOL019W
2101,YOL022C
2111,YOL049W
2134,YOL109W
2142,YOL123W
2152,YOL147C
2154,YOL155C
2160,YOR016C
2166,YOR026W
2176,YOR052C
2178,YOR057W
2181,YOR063W
2184,YOR070C
2185,YOR074C
2188,YOR084W
2194,YOR094W
2198,YOR100C
2200,YOR103C
2258,YOR236W
2271,YOR264W
2276,YOR273C
2301,YOR340C
2307,YOR355W
2325,YPL015C
2330,YPL028W
2332,YPL032C
2338,YPL048W
2339,YPL049C
2346,YPL066W
2352,YPL082C
2360,YPL095C
2383,YPL152W
2386,YPL157W
2387,YPL158C
2389,YPL163C
2414,YPL221W
2419,YPL226W
2420,YPL227C
2421,YPL229W
2424,YPL232W
2426,YPL235W
2431,YPL241C
2432,YPL242C
2439,YPL256C
2444,YPL273W
2460,YPR036W
2482,YPR101W
2486,YPR106W
2487,YPR107C
2490,YPR110C
2495,YPR128C
2506,YPR149W
2513,YPR167C
