ID,Gene
489,YDR253C
1967,YNL103W
42,YBL005W
16,YAL036C
436,YDR123C
93,YBR029C
2133,YOL108C
176,YBR214W
226,YCL043C
756,YFL031W
241,YCR012W
284,YDL052C
1222,YIR033W
1834,YMR164C
298,YDL076C
324,YDL125C
334,YDL137W
413,YDR072C
426,YDR098C
530,YDR354W
538,YDR376W
547,YDR393W
577,YDR468C
586,YDR492W
590,YDR497C
1026,YHL020C
592,YDR502C
599,YDR518W
600,YDR519W
627,YEL036C
640,YEL056W
660,YER026C
668,YER043C
673,YER052C
682,YER068W
694,YER088C
773,YFR030W
778,YFR042W
790,YGL005C
818,YGL055W
877,YGL225W
879,YGL228W
895,YGR014W
952,YGR155W
953,YGR157W
961,YGR175C
977,YGR202C
1016,YGR286C
1021,YHL004W
1031,YHL032C
1047,YHR021C
1068,YHR064C
1092,YHR113W
1095,YHR123W
1134,YHR216W
1137,YIL009W
1155,YIL046W
1167,YIL074C
1203,YIL155C
1208,YIL165C
1237,YJL034W
1261,YJL101C
1275,YJL140W
1278,YJL145W
1281,YJL151C
1290,YJL167W
1304,YJL196C
1311,YJR007W
1312,YJR008W
1314,YJR010W
1321,YJR042W
1336,YJR073C
1337,YJR074W
1350,YJR105W
1361,YJR133W
1362,YJR137C
1374,YKL007W
1375,YKL008C
1394,YKL040C
1408,YKL073W
1409,YKL077W
1417,YKL094W
1447,YKL165C
1454,YKL182W
1523,YLL028W
1531,YLL061W
1569,YLR092W
1588,YLR139C
1598,YLR168C
1608,YLR185W
1645,YLR285W
1656,YLR303W
1671,YLR347C
1679,YLR372W
1681,YLR378C
1719,YML026C
1740,YML072C
1749,YML097C
1772,YMR008C
1776,YMR015C
1784,YMR030W
1877,YMR246W
1879,YMR255W
1881,YMR258C
1888,YMR276W
1931,YNL044W
1978,YNL129W
1979,YNL130C
2029,YNL241C
2034,YNL256W
2035,YNL258C
2055,YNL306W
2067,YNR007C
2070,YNR016C
2089,YNR055C
2096,YOL011W
2103,YOL027C
2107,YOL039W
2120,YOL064C
2127,YOL083W
2135,YOL110W
2165,YOR025W
2196,YOR096W
2209,YOR126C
2211,YOR130C
2218,YOR148C
2221,YOR153W
2257,YOR234C
2283,YOR288C
2297,YOR326W
2328,YPL024W
2329,YPL026C
2341,YPL053C
2342,YPL057C
2384,YPL154C
2423,YPL231W
2445,YPL274W
