ID,Gene
613,YEL009C
753,YFL021W
6,YAL013W
7,YAL014C
667,YER040W
1215,YIR023W
1707,YLR451W
70,YBL076C
77,YBL102W
81,YBR006W
1482,YKR034W
85,YBR014C
96,YBR035C
112,YBR068C
118,YBR080C
133,YBR115C
136,YBR122C
147,YBR147W
155,YBR162C
157,YBR166C
347,YDL170W
1256,YJL089W
1264,YJL110C
159,YBR169C
163,YBR177C
174,YBR208C
177,YBR218C
181,YBR234C
182,YBR236C
185,YBR242W
193,YBR254C
218,YCL018W
233,YCL059C
244,YCR023C
251,YCR053W
257,YCR079W
286,YDL054C
459,YDR174W
307,YDL091C
338,YDL145C
354,YDL182W
575,YDR463W
370,YDL215C
377,YDL236W
399,YDR047W
403,YDR059C
409,YDR067C
414,YDR073W
418,YDR078C
420,YDR084C
1751,YML099C
1792,YMR042W
423,YDR090C
425,YDR092W
430,YDR105C
441,YDR142C
466,YDR202C
485,YDR244W
494,YDR262W
491,YDR259C
496,YDR267C
517,YDR321W
574,YDR458C
593,YDR508C
595,YDR512C
605,YDR531W
607,YDR539W
616,YEL013W
617,YEL015W
634,YEL046C
636,YEL051W
643,YEL066W
647,YER002W
659,YER025W
661,YER027C
683,YER069W
686,YER073W
693,YER086W
696,YER090W
722,YER134C
741,YER175C
742,YER176W
780,YFR047C
782,YFR050C
789,YGL004C
793,YGL009C
813,YGL043W
819,YGL056C
847,YGL145W
853,YGL161C
862,YGL190C
868,YGL202W
873,YGL215W
876,YGL224C
880,YGL231C
885,YGL242C
886,YGL245W
887,YGL246C
896,YGR017W
897,YGR019W
914,YGR055W
917,YGR065C
923,YGR080W
924,YGR082W
931,YGR103W
943,YGR125W
956,YGR161C
967,YGR186W
972,YGR193C
1010,YGR267C
1020,YHL003C
1037,YHR006W
1048,YHR024C
1053,YHR029C
1065,YHR052W
1069,YHR065C
1072,YHR070W
1074,YHR074W
1076,YHR083W
1094,YHR122W
1117,YHR179W
1132,YHR208W
1146,YIL034C
1152,YIL043C
1164,YIL065C
1170,YIL077C
1172,YIL079C
1217,YIR028W
1218,YIR029W
1220,YIR031C
1221,YIR032C
1223,YIR034C
1234,YJL024C
1245,YJL055W
1255,YJL088W
1292,YJL172W
1305,YJL200C
1306,YJL210W
1318,YJR016C
1319,YJR017C
1351,YJR109C
1360,YJR130C
1368,YJR152W
1382,YKL019W
1384,YKL021C
1401,YKL058W
1406,YKL067W
1426,YKL114C
1465,YKL206C
1471,YKL218C
1476,YKR009C
1478,YKR013W
1483,YKR039W
1490,YKR055W
1499,YKR070W
1504,YKR081C
1509,YKR092C
1521,YLL026W
1533,YLR005W
1539,YLR019W
1540,YLR023C
1550,YLR048W
1560,YLR066W
1571,YLR100W
1579,YLR110C
1590,YLR146C
1601,YLR174W
1613,YLR195C
1637,YLR257W
1647,YLR287C
1672,YLR350W
1674,YLR355C
1699,YLR432W
1701,YLR438W
1733,YML056C
1770,YMR005W
1800,YMR062C
1814,YMR108W
1831,YMR148W
1846,YMR186W
1849,YMR192W
1867,YMR226C
1914,YNL002C
1915,YNL004W
1929,YNL040W
1968,YNL104C
1973,YNL116W
1974,YNL117W
1976,YNL124W
1985,YNL141W
1986,YNL142W
2006,YNL183C
2007,YNL185C
2025,YNL229C
2030,YNL244C
2046,YNL284C
2057,YNL308C
2058,YNL312W
2102,YOL026C
2114,YOL057W
2115,YOL058W
2118,YOL061W
2123,YOL071W
2147,YOL133W
2150,YOL140W
2170,YOR036W
2201,YOR108W
2202,YOR110W
2206,YOR122C
2234,YOR176W
2237,YOR184W
2238,YOR185C
2243,YOR202W
2244,YOR206W
2249,YOR221C
2250,YOR222W
2264,YOR251C
2274,YOR271C
2284,YOR289W
2288,YOR303W
2296,YOR323C
2300,YOR335C
2316,YOR375C
2322,YPL006W
2358,YPL092W
2361,YPL096W
2366,YPL111W
2370,YPL122C
2381,YPL149W
2436,YPL247C
2465,YPR057W
2466,YPR058W
