ID,Gene
514,YDR309C
516,YDR319C
517,YDR321W
518,YDR322W
519,YDR328C
521,YDR333C
523,YDR339C
524,YDR341C
525,YDR342C
526,YDR343C
527,YDR345C
530,YDR354W
531,YDR361C
533,YDR366C
534,YDR367W
535,YDR368W
536,YDR372C
537,YDR373W
538,YDR376W
539,YDR377W
540,YDR378C
541,YDR381W
542,YDR382W
543,YDR384C
544,YDR385W
545,YDR388W
546,YDR391C
547,YDR393W
548,YDR394W
551,YDR399W
552,YDR404C
553,YDR405W
554,YDR408C
556,YDR411C
560,YDR427W
561,YDR429C
564,YDR441C
566,YDR449C
568,YDR451C
569,YDR452W
570,YDR453C
572,YDR456W
573,YDR457W
574,YDR458C
576,YDR465C
577,YDR468C
578,YDR471W
580,YDR476C
581,YDR477W
582,YDR479C
583,YDR483W
584,YDR486C
585,YDR487C
586,YDR492W
587,YDR493W
589,YDR496C
590,YDR497C
591,YDR500C
592,YDR502C
593,YDR508C
594,YDR510W
595,YDR512C
596,YDR513W
597,YDR516C
598,YDR517W
599,YDR518W
600,YDR519W
602,YDR527W
603,YDR529C
605,YDR531W
606,YDR533C
607,YDR539W
610,YEL005C
611,YEL006W
612,YEL007W
614,YEL011W
615,YEL012W
616,YEL013W
617,YEL015W
618,YEL017W
620,YEL024W
621,YEL026W
622,YEL027W
623,YEL031W
624,YEL032W
625,YEL033W
626,YEL034W
627,YEL036C
628,YEL037C
629,YEL038W
630,YEL039C
631,YEL040W
632,YEL042W
633,YEL044W
634,YEL046C
635,YEL050C
636,YEL051W
637,YEL052W
638,YEL054C
640,YEL056W
641,YEL058W
642,YEL060C
644,YEL071W
646,YER001W
647,YER002W
649,YER004W
651,YER009W
652,YER010C
653,YER012W
655,YER020W
656,YER021W
658,YER024W
659,YER025W
660,YER026C
661,YER027C
662,YER029C
663,YER031C
664,YER035W
666,YER037W
668,YER043C
669,YER044C
670,YER046W
671,YER048C
672,YER049W
673,YER052C
674,YER053C
675,YER055C
676,YER056C
677,YER057C
678,YER062C
679,YER063W
680,YER065C
681,YER067W
682,YER068W
683,YER069W
684,YER070W
685,YER072W
686,YER073W
687,YER074W
689,YER079W
691,YER081W
692,YER083C
693,YER086W
694,YER088C
695,YER089C
696,YER090W
697,YER091C
698,YER092W
699,YER094C
700,YER095W
702,YER100W
704,YER103W
706,YER110C
710,YER117W
712,YER119C
714,YER122C
716,YER124C
718,YER126C
719,YER130C
720,YER131W
721,YER133W
722,YER134C
723,YER136W
724,YER141W
725,YER142C
726,YER143W
728,YER145C
729,YER146W
730,YER148W
731,YER150W
732,YER152C
733,YER154W
734,YER155C
735,YER156C
736,YER159C
737,YER161C
738,YER163C
741,YER175C
743,YER177W
744,YER178W
745,YER183C
747,YFL005W
749,YFL014W
750,YFL016C
752,YFL018C
754,YFL022C
755,YFL028C
758,YFL038C
759,YFL039C
760,YFL041W
762,YFL048C
763,YFR004W
764,YFR006W
766,YFR010W
767,YFR011C
768,YFR014C
769,YFR015C
770,YFR016C
771,YFR017C
772,YFR025C
773,YFR030W
774,YFR033C
776,YFR037C
777,YFR041C
779,YFR044C
780,YFR047C
781,YFR049W
782,YFR050C
783,YFR051C
784,YFR052W
785,YFR053C
786,YFR055W
787,YGL001C
789,YGL004C
790,YGL005C
791,YGL006W
792,YGL008C
793,YGL009C
794,YGL010W
795,YGL011C
796,YGL012W
800,YGL021W
802,YGL026C
804,YGL028C
807,YGL031C
809,YGL037C
810,YGL038C
811,YGL039W
813,YGL043W
814,YGL047W
815,YGL048C
816,YGL050W
817,YGL054C
818,YGL055W
819,YGL056C
820,YGL058W
821,YGL059W
822,YGL062W
823,YGL068W
825,YGL071W
828,YGL077C
829,YGL078C
830,YGL084C
831,YGL087C
832,YGL096W
834,YGL100W
835,YGL101W
836,YGL103W
837,YGL105W
838,YGL115W
839,YGL117W
840,YGL120C
841,YGL121C
842,YGL122C
844,YGL127C
845,YGL135W
849,YGL148W
850,YGL154C
851,YGL157W
