"ORF","MEAN","MEDIAN","STD","IQR","STD.MeanNormalized","STD.MedianNormalized","IQR.MedianNormalized","FractionOutliers"
"YJL130C",415.68152866242,407,149.248151383988,144,0.359044463352121,0.366703074653533,0.353808353808354,0.0840764331210191
"YPR108W",243.967614533965,198,103.179844801576,174,0.422924350015365,0.521110327280689,0.878787878787879,0
"YOR281C",91.9,90,20.4023495343831,29,0.22200597969949,0.226692772604257,0.322222222222222,0.0032258064516129
"YGR155W",1762.01865136298,1634,726.394260255204,716.75,0.412251175487451,0.444549730878338,0.438647490820073,0.0882352941176471
"YDL160C",239.13741223671,204,98.0988568607868,174,0.410219613665819,0.480876749317582,0.852941176470588,0
"YDL055C",1964.71239837398,1872,644.971345274003,752.75,0.32827773968739,0.344535975039532,0.402110042735043,0.0233739837398374
"YMR186W",6572.55152224824,7042.5,2176.79614944541,3806.25,0.331194992093542,0.309094234923026,0.540468583599574,0
"YLR180W",986.717328170378,947,297.671020252696,264,0.301678111607356,0.314330538809605,0.278775079197466,0.0435624394966118
"YER091C",9793.70697674419,8473,3467.67666094658,4275,0.354071922835838,0.409261968717878,0.504543845155199,0.013953488372093
"YPL225W",447.396907216495,364,192.362618181937,221.25,0.429959651216036,0.528468731269058,0.60782967032967,0.0381443298969072
"YMR205C",1304.49241658241,1245,380.403101231101,238,0.291610051845074,0.305544659623374,0.191164658634538,0.0778564206268959
"YER052C",343.396739130435,318,113.424771592246,90,0.330302413119781,0.356681671673731,0.283018867924528,0.0851449275362319
"YNR050C",1452.25072324012,1346,517.950533941223,334,0.356653658801852,0.384807231754252,0.2481426448737,0.0819672131147541
"YNR043W",317.518838304553,296,99.6988712258485,64,0.313993562581068,0.336820510898137,0.216216216216216,0.08712715855573
"YGR240C",1395.3491246138,1287,442.253937231378,264,0.316948589732898,0.343631652860434,0.205128205128205,0.0916580844490216
"YBR181C",2633.47528830313,2425,790.738137403575,505.75,0.300264119020112,0.326077582434464,0.208556701030928,0.137561779242175
"YNL209W",4107.81144238517,3746,1401.67400145427,882,0.341221602089993,0.374178857836165,0.235451147891084,0.133763094278807
"YKL156W",1524.08756756757,1351,499.016118456575,350,0.327419584724388,0.369367963328331,0.259067357512953,0.184864864864865
"YGR124W",839.951132300358,753,289.318792956052,156.5,0.344447172972671,0.384221504589711,0.207835325365206,0.141835518474374
"YPL090C",2572.53504442251,2409,747.481248859901,549,0.29056212488942,0.310286944317103,0.227895392278954,0.0997038499506417
"YGR285C",1051.62354312354,824,464.962160044821,782.75,0.442137457919386,0.564274466073812,0.949939320388349,0
"YHR193C",1397.6713747646,1299,471.761238024037,290.5,0.337533733996301,0.363172623575087,0.223633564280216,0.0828625235404896
"YPL081W",614.793237971391,508,388.73447873094,266,0.632301161954272,0.765225351832558,0.523622047244094,0.182054616384915
"YGL031C",2896.3988183161,2726,833.121707040535,599,0.28764053547187,0.30562058218655,0.21973587674248,0.105612998522895
"YGL234W",537.351688693098,439,235.957147725825,281.5,0.439111205362916,0.537487808031492,0.64123006833713,0.0315712187958884
"YDR190C",144.424489795918,130,54.7038509860825,36,0.378771294697892,0.420798853739096,0.276923076923077,0.143537414965986
"YIR001C",64.405094494659,58,19.2537011226288,22,0.29894686551893,0.331960364183255,0.379310344827586,0.0394412489728841
"YNR053C",57.1791907514451,51,30.4935714505094,23,0.533298408910041,0.597913165696263,0.450980392156863,0.0508670520231214
"YDL122W",75.1530715005035,75,8.46331821292984,11,0.112614402098963,0.112844242839065,0.146666666666667,0.00704934541792548
"YNL251C",61.0268817204301,59,25.7442151884559,25,0.421850411862638,0.436342630312813,0.423728813559322,0.0268817204301075
"YOR168W",447.456702253855,423,119.830448158957,95,0.267803449038459,0.283287111486897,0.224586288416076,0.0937129300118624
"YDR101C",108.316326530612,107,30.2232271063636,26,0.279027438193465,0.282460066414613,0.242990654205607,0.0800627943485086
"YDR214W",325.050333086603,308,91.3480141378345,72,0.281027289744376,0.296584461486476,0.233766233766234,0.0717986676535899
"YML069W",41.3226277372263,40,14.833859520331,13,0.3589766753136,0.370846488008276,0.325,0.0357664233576642
"YPR033C",535.951866404715,464,179.680806908096,268.75,0.335255492463222,0.387243118336413,0.579202586206897,0.00196463654223969
"YML052W",72.1333333333333,66,32.8021290411387,19,0.454743008888244,0.497001955168767,0.287878787878788,0.243809523809524
