Node 1,Node 2,Weight
1625,87,1
1711,87,1
1923,87,1
273,88,1
1787,88,1
120,89,1
1787,89,1
1838,89,-1
2137,89,1
273,90,1
826,91,1
1422,91,1
1625,91,1
1688,91,1
1787,91,1
2020,91,1
273,92,1
273,93,1
436,93,1
1330,93,1
1403,93,-1
2133,93,1
1330,94,-1
1424,94,1
1688,94,1
2020,94,1
2348,94,1
444,95,1
613,95,1
826,95,1
1688,95,1
2020,95,1
613,96,1
2020,96,1
273,97,1
1330,97,1
1625,97,-1
1787,97,1
1793,97,1
1923,97,1
2020,97,1
2226,98,1
288,99,-1
444,99,-1
1077,99,1
1330,99,1
1422,99,1
1587,99,-1
1625,99,1
1793,99,1
1946,99,1
2020,99,-1
2226,99,1
48,100,-1
797,100,1
883,100,-1
1330,100,1
1403,100,-1
1422,100,1
2020,100,1
2309,100,1
273,101,1
1793,101,1
613,102,1
1077,102,1
273,103,1
613,103,1
2020,103,1
2485,103,1
613,104,1
1625,104,1
1688,104,1
1793,104,1
2020,104,1
2226,104,1
273,105,1
826,105,1
1330,105,1
2020,105,1
1403,106,1
1636,106,1
273,107,1
613,107,1
707,107,-1
826,107,1
1194,107,1
1403,107,-1
1422,107,1
1424,107,-1
1787,107,1
1838,107,1
1923,107,1
2016,107,-1
2020,107,-1
2348,107,-1
24,108,1
444,108,1
613,108,1
797,108,1
826,108,1
1077,108,1
1116,108,1
1194,108,1
1688,108,-1
1777,108,1
2375,108,1
273,109,1
288,109,-1
613,109,1
1001,109,1
1330,109,1
1392,109,-1
1422,109,1
1688,109,-1
1787,109,1
1838,109,1
2020,109,-1
2226,109,1
120,110,1
613,110,1
1330,110,1
258,111,1
273,111,-1
436,111,1
444,111,1
474,111,1
707,111,-1
775,111,1
826,111,1
1096,111,1
1131,111,-1
1194,111,1
1383,111,1
1396,111,1
1403,111,1
1422,111,-1
1424,111,-1
1625,111,1
1787,111,1
1793,111,1
2020,111,-1
2168,111,1
2312,111,1
2375,111,1
1707,112,1
288,113,1
444,113,1
707,113,1
1330,113,1
1455,113,1
288,114,1
444,114,1
707,114,-1
1455,114,1
2355,114,1
24,115,1
273,115,1
489,115,1
826,115,1
1029,115,1
1194,115,1
1246,115,1
1403,115,1
1625,115,-1
1711,115,1
1777,115,1
1838,115,1
2020,115,1
120,116,1
288,116,1
444,116,-1
613,116,-1
707,116,1
1077,116,1
1403,116,-1
1587,116,-1
1787,116,1
1793,116,1
2020,116,1
1096,117,1
1330,117,1
2020,117,1
273,118,1
613,118,1
474,119,-1
826,119,1
1077,119,1
1330,119,1
1403,119,-1
1625,119,1
1688,119,1
1787,119,-1
1923,119,1
2020,119,1
