ID,Gene_Name,In_Degree,Out_Degree
264,YDL004W,3,0
265,YDL006W,1,0
266,YDL007W,2,0
267,YDL010W,2,0
268,YDL012C,2,0
269,YDL014W,5,0
270,YDL015C,3,0
271,YDL018C,3,0
272,YDL019C,1,0
273,YDL020C,5,836
274,YDL021W,4,0
275,YDL022W,13,0
276,YDL025C,3,0
277,YDL029W,2,0
278,YDL040C,1,0
279,YDL045C,5,0
280,YDL046W,7,0
281,YDL048C,11,0
282,YDL049C,2,0
283,YDL051W,2,0
284,YDL052C,4,0
285,YDL053C,2,0
286,YDL054C,1,0
287,YDL055C,16,0
288,YDL056W,0,171
289,YDL061C,5,0
290,YDL063C,9,0
291,YDL064W,3,0
292,YDL066W,16,0
293,YDL067C,4,0
294,YDL070W,6,0
295,YDL072C,3,0
296,YDL074C,2,0
297,YDL075W,7,0
298,YDL076C,10,0
299,YDL078C,13,0
300,YDL081C,4,0
301,YDL082W,6,0
302,YDL083C,7,0
303,YDL084W,6,0
304,YDL086W,6,0
305,YDL088C,2,0
306,YDL090C,1,0
307,YDL091C,2,0
308,YDL092W,3,0
309,YDL095W,5,0
310,YDL097C,2,0
311,YDL099W,1,0
312,YDL100C,3,0
313,YDL103C,4,0
314,YDL106C,0,21
315,YDL110C,10,0
316,YDL113C,2,0
317,YDL115C,1,0
318,YDL117W,7,0
319,YDL120W,3,0
320,YDL121C,4,0
321,YDL122W,3,0
322,YDL123W,8,0
323,YDL124W,12,0
324,YDL125C,11,0
325,YDL126C,7,0
326,YDL127W,2,0
327,YDL128W,18,0
328,YDL130W,4,0
329,YDL131W,6,0
330,YDL133W,1,0
331,YDL134C,4,0
332,YDL135C,2,0
333,YDL136W,4,0
334,YDL137W,4,0
335,YDL140C,2,0
336,YDL142C,2,0
337,YDL143W,5,0
338,YDL145C,3,0
339,YDL147W,2,0
340,YDL148C,4,0
341,YDL155W,1,0
342,YDL157C,9,0
343,YDL165W,4,0
344,YDL167C,3,0
345,YDL168W,6,0
346,YDL169C,4,0
347,YDL170W,3,7
348,YDL171C,7,0
349,YDL174C,11,0
350,YDL178W,5,0
351,YDL179W,6,0
352,YDL180W,3,0
353,YDL181W,5,0
354,YDL182W,19,0
355,YDL184C,5,0
356,YDL185W,5,0
357,YDL188C,5,0
358,YDL190C,2,0
359,YDL191W,5,0
360,YDL192W,1,0
361,YDL193W,2,0
362,YDL195W,1,0
363,YDL198C,7,0
364,YDL201W,5,0
365,YDL204W,6,0
366,YDL207W,1,0
367,YDL208W,9,0
368,YDL212W,2,0
369,YDL213C,2,0
370,YDL215C,11,0
371,YDL217C,1,0
372,YDL224C,1,0
373,YDL226C,6,0
374,YDL229W,7,0
375,YDL232W,2,0
376,YDL235C,2,0
377,YDL236W,5,0
378,YDL237W,3,0
379,YDR001C,8,0
380,YDR002W,4,0
381,YDR005C,3,0
382,YDR006C,1,0
383,YDR011W,12,0
384,YDR012W,7,0
385,YDR019C,3,0
386,YDR023W,5,0
387,YDR025W,3,0
388,YDR028C,2,0
389,YDR031W,1,0
390,YDR032C,2,0
391,YDR033W,18,0
392,YDR034C,4,0
393,YDR035W,2,0
394,YDR037W,10,0
395,YDR041W,18,0
396,YDR043C,13,19
397,YDR044W,7,0
